270-01-01 s_2s_7s_0s_pt
270-30-04 private
270-30-05 mens_cm
270-30-06 are
270-30-07 to
270-30-08 mount
270-31-01 Guard
270-31-02 to
270-31-03 s_mi
270-31-04 days_cm
270-31-05 and
270-31-06 to
270-31-07 be
270-31-08 relieved
270-31-09 to
270-31-10 s_mi
270-31-11 morrow
270-32-01 at
270-32-02 ten
270-32-03 os_qtclocks_pt
270-32-04 s_mis_pt
270-32-05 All
270-32-06 Reports
270-32-07 and
270-32-08 Returns
270-33-01 are
270-33-02 to
270-33-03 be
270-33-04 made
270-33-05 to
270-33-06 the
270-33-07 Aid
270-33-08 de
270-33-09 Camps_pt
271-02-01 Letterss_cm
271-02-02 Orders
271-02-03 and
271-02-04 Instructionss_pt
271-02-05 October
271-02-06 s_1s_7s_5s_5s_pt
271-02-07 s_mi
271-02-08 s_2s_7s_1s_pt
271-04-01 s_2s_8ths_pt
271-04-02 To
271-04-03 Ensign
271-04-04 Flemings_cm
271-04-05 of
271-04-06 the
271-04-07 Virginia
271-04-08 Regiments_pt
271-05-01 You
271-05-02 are
271-05-03 hereby
271-05-04 ordered
271-05-05 to
271-05-06 repair
271-05-07 to
271-06-01 Captain
271-06-02 Hoggs_qts
271-06-03 Company
271-06-04 at
271-06-05 Fort
271-06-06 Dinwiddie
271-07-01 with
271-07-02 eight
271-07-03 good
271-07-04 mens_qo
271-07-05 as
271-07-06 that
271-07-07 Company
271-07-08 is
271-08-01 without
271-08-02 a
271-08-03 Surgeons_cm
271-08-04 if
271-08-05 you
271-08-06 will
271-08-07 do
271-08-08 that
271-08-09 dutys_cm
271-08-10 an
271-09-01 allowance
271-09-02 will
271-09-03 be
271-09-04 made
271-09-05 you
271-09-06 for
271-09-07 its_pt
271-09-08 You
271-09-09 are
271-10-01 to
271-10-02 provide
271-10-03 mediciness_cm
271-10-04 s_etcs_pt
271-10-05 upon
271-10-06 the
271-10-07 best
271-10-08 terms
271-11-01 you
271-11-02 cans_pt
271-11-03 This
271-11-04 Order
271-11-05 I
271-11-06 expect
271-11-07 will
271-11-08 be
271-11-09 immedis_mi
271-12-01 ately
271-12-02 complied
271-12-03 withs_sq
271-12-04 and
271-12-05 that
271-12-06 no
271-12-07 Delays
271-12-08 be
271-12-09 ofs_mi
271-13-01 fereds_pt
271-13-02 You
271-13-03 are
271-13-04 to
271-13-05 account
271-13-06 with
271-13-07 Captain
271-13-08 Bell
271-14-01 for
271-14-02 your
271-14-03 recruiting
271-14-04 moneys_cm
271-14-05 before
271-14-06 you
271-14-07 leave
271-14-08 hims_pt
271-15-01 If
271-15-02 you
271-15-03 should
271-15-04 arrive
271-15-05 at
271-15-06 Augusta
271-15-07 Court
271-15-08 House
271-16-01 before
271-16-02 Sergeant
271-16-03 Wilper
271-16-04 and
271-16-05 his
271-16-06 Partys_cm
271-16-07 you
271-16-08 are
271-16-09 to
271-17-01 halt
271-17-02 there
271-17-03 until
271-17-04 he
271-17-05 joinss_cm
271-17-06 in
271-17-07 order
271-17-08 to
271-17-09 escort
271-17-10 the
271-18-01 Ammunitions_cm
271-18-02 s_etcs_pt
271-18-03 for
271-18-04 the
271-18-05 Forts_sq
271-18-06 where
271-18-07 you
271-18-08 will
271-19-01 receive
271-19-02 Clothes
271-19-03 and
271-19-04 Arms
271-19-05 for
271-19-06 the
271-19-07 Mens_pt
271-21-01 s_2s_8ths_pt
271-21-02 To
271-21-03 Captain
271-21-04 Bell
271-21-05 of
271-21-06 the
271-21-07 Virginia
271-21-08 Regiments_pt
271-22-01 I
271-22-02 have
271-22-03 Ordered
271-22-04 Ensign
271-22-05 Fleming
271-23-01 to
271-23-02 Repair
271-23-03 to
271-23-04 Captain
271-23-05 Hoggs
271-23-06 Company
271-23-07 with
271-23-08 eight
271-24-01 good
271-24-02 mens_sq
271-24-03 which
271-24-04 I
271-24-05 expect
271-24-06 you
271-24-07 will
271-24-08 see
271-24-09 immedis_mi
271-25-01 ately
271-25-02 complied
271-25-03 withs_pt
271-25-04 He
271-25-05 is
271-25-06 to
271-25-07 account
271-25-08 with
271-25-09 you
271-26-01 for
271-26-02 his
271-26-03 recruiting
271-26-04 money
271-26-05 before
271-26-06 he
271-26-07 leaves
271-26-08 yous_pt
271-27-01 You
271-27-02 are
271-27-03 hereby
271-27-04 ordereds_cm
271-27-05 peremptorilys_cm
271-27-06 to
271-27-07 be
271-27-08 at
271-28-01 this
271-28-02 place
271-28-03 with
271-28-04 what
271-28-05 men
271-28-06 you
271-28-07 haves_cm
271-28-08 or
271-28-09 can
271-28-10 ens_mi
271-29-01 list
271-29-02 by
271-29-03 the
271-29-04 s_1sts_pt
271-29-05 of
271-29-06 Decembers_pt
271-29-07 Your
271-29-08 late
271-29-09 disobedis_mi
271-30-01 ence
271-30-02 of
271-30-03 Orders
271-30-04 has
271-30-05 greatly
271-30-06 displeased
271-30-07 mes_pt
271-30-08 It
271-30-09 is
271-31-01 impos_ssible
271-31-02 to
271-31-03 carry
271-31-04 on
271-31-05 affairs
271-31-06 as
271-31-07 they
271-31-08 ought
271-31-09 to
271-31-10 bes_cm
271-32-01 when
271-32-02 you
271-32-03 pay
271-32-04 so
271-32-05 little
271-32-06 regard
271-32-07 to
271-32-08 the
271-32-09 Force
271-32-10 of
271-32-11 a
271-33-01 Military
271-33-02 Order
271-33-03 s_mi
271-33-04 You
271-33-05 must
271-33-06 be
271-33-07 conscious
271-33-08 within
271-34-01 yourself
271-34-02 s_blor
271-34-03 at
271-34-04 least
271-34-05 ought
271-34-06 to
271-34-07 bes_br
271-34-08 that
271-34-09 your
271-34-10 Crime
271-35-01 is
271-35-02 sufficient
271-35-03 to
271-35-04 Break
271-35-05 the
271-35-06 best
271-35-07 Officer
271-35-08 that
271-35-09 ever
271-36-01 bore
271-36-02 a
271-36-03 Commis_ssions_pt
272-02-01 s_2s_7s_2s_pt
272-02-02 Letterss_cm
272-02-03 Orders
272-02-04 and
272-02-05 Instructionss_pt
272-02-06 October
272-04-01 s_2s_8ths_pt
272-04-02 To
272-04-03 Captain
272-04-04 Peter
272-04-05 Hoggs_cm
272-04-06 of
272-04-07 the
272-04-08 Virginia
272-05-01 Regiments_pt
272-06-01 Sirs_cm
272-07-01 I
272-07-02 received
272-07-03 yours
272-07-04 of
272-07-05 the
272-07-06 s_6ths_pt
272-07-07 of
272-07-08 Octos_mi
272-08-01 bers_cm
272-08-02 inclosing
272-08-03 the
272-08-04 Returns
272-08-05 of
272-08-06 your
272-08-07 Companys_cm
272-09-01 only
272-09-02 this
272-09-03 days_pt
272-09-04 Ferguson
272-09-05 was
272-09-06 sent
272-09-07 after
272-10-01 yous_cm
272-10-02 but
272-10-03 falling
272-10-04 ills_cm
272-10-05 by
272-10-06 a
272-10-07 Sore
272-10-08 on
272-10-09 his
272-10-10 arms_cm
272-10-11 was
272-11-01 ordered
272-11-02 to
272-11-03 halt
272-11-04 heres_cm
272-11-05 where
272-11-06 he
272-11-07 now
272-11-08 remains
272-12-01 unfit
272-12-02 for
272-12-03 Dutys_qo
272-12-04 therefore
272-12-05 I
272-12-06 have
272-12-07 sent
272-13-01 in
272-13-02 his
272-13-03 rooms_pt
272-13-04 Sergeant
272-13-05 Wilper
272-13-06 has
272-13-07 received
272-14-01 from
272-14-02 Fort
272-14-03 Cumberland
272-14-04 and
272-14-05 this
272-14-06 place
272-15-01 Arms
272-15-02 and
272-15-03 Clothing
272-15-04 to
272-15-05 complete
272-15-06 your
272-15-07 Compas_mi
272-16-01 ny
272-16-02 to
272-16-03 the
272-16-04 Establishments_pt
272-16-05 He
272-16-06 has
272-16-07 enlisted
272-17-01 three
272-17-02 men
272-17-03 on
272-17-04 his
272-17-05 marchs_cm
272-17-06 and
272-17-07 I
272-17-08 have
272-17-09 ors_mi
272-18-01 dered
272-18-02 Ensign
272-18-03 Flemings_cm
272-18-04 with
272-18-05 eight
272-18-06 otherss_cm
272-18-07 to
272-19-01 join
272-19-02 yous_sq
272-19-03 he
272-19-04 being
272-19-05 a
272-19-06 Surgeons_cm
272-19-07 he
272-19-08 is
272-19-09 desired
272-19-10 to
272-20-01 take
272-20-02 care
272-20-03 of
272-20-04 your
272-20-05 Companys_sq
272-20-06 for
272-20-07 which
272-20-08 he
272-21-01 will
272-21-02 be
272-21-03 alloweds_pt
272-21-04 You
272-21-05 must
272-21-06 use
272-21-07 your
272-21-08 best
272-22-01 endeavours
272-22-02 to
272-22-03 secure
272-22-04 your
272-22-05 provisionss_cm
272-22-06 and
272-22-07 do
272-23-01 with
272-23-02 it
272-23-03 as
272-23-04 you
272-23-05 see
272-23-06 most
272-23-07 needful
272-23-08 s_qos_mi
272-23-09 It
272-23-10 is
272-23-11 impos_ssis_mi
272-24-01 ble
272-24-02 I
272-24-03 can
272-24-04 direct
272-24-05 about
272-24-06 it
272-24-07 at
272-24-08 this
272-24-09 distances_cm
272-25-01 properlys_pt
272-25-02 As
272-25-03 we
272-25-04 have
272-25-05 contracted
272-25-06 for
272-25-07 a
272-26-01 large
272-26-02 quantity
272-26-03 of
272-26-04 Beef
272-26-05 alreadys_cm
272-26-06 you
272-26-07 are
272-27-01 desired
272-27-02 to
272-27-03 engage
272-27-04 no
272-27-05 more
272-27-06 than
272-27-07 what
272-27-08 will
272-28-01 suffice
272-28-02 for
272-28-03 your
272-28-04 own
272-28-05 Companys_pt
272-28-06 I
272-28-07 shall
272-29-01 see
272-29-02 that
272-29-03 money
272-29-04 is
272-29-05 lodged
272-29-06 with
272-29-07 Mrs_pt
272-29-08 Dick
272-30-01 for
272-30-02 your
272-30-03 use
272-30-04 when
272-30-05 I
272-30-06 see
272-30-07 hims_pt
272-30-08 You
272-30-09 are
272-30-10 to
272-31-01 see
272-31-02 the
272-31-03 usual
272-31-04 stoppages
272-31-05 from
272-31-06 the
272-31-07 mens
272-32-01 pay
272-32-02 while
272-32-03 they
272-32-04 are
272-32-05 in
272-32-06 the
272-32-07 Hospitals_cm
272-32-08 to
272-33-01 answer
272-33-02 the
272-33-03 expence
272-33-04 of
272-33-05 Nursess_cm
272-33-06 s_etcs_pt
272-34-01 You
272-34-02 must
272-34-03 be
272-34-04 very
272-34-05 careful
272-34-06 not
272-34-07 to
272-34-08 slip
272-35-01 the
272-35-02 opportunity
272-35-03 of
272-35-04 purchasing
272-35-05 Grain
272-35-06 for
272-35-07 your
272-36-01 Companys_cm
272-36-02 that
272-36-03 being
272-36-04 your
272-36-05 only
272-36-06 dependance
273-01-01 Letterss_cm
273-01-02 Orders
273-01-03 and
273-01-04 Instructionss_pt
273-01-05 October
273-01-06 s_1s_7s_5s_5s_pt
273-01-07 s_2s_7s_3s_pt
273-03-01 for
273-03-02 Breads_sq
273-03-03 the
273-03-04 Commis_ssary
273-03-05 having
273-03-06 no
273-03-07 Orders
273-03-08 to
273-04-01 make
273-04-02 provisions
273-04-03 for
273-04-04 yous_pt
273-04-05 If
273-04-06 any
273-04-07 of
273-04-08 your
273-04-09 men
273-05-01 should
273-05-02 desert
273-05-03 or
273-05-04 dies_cm
273-05-05 you
273-05-06 are
273-05-07 immediately
273-05-08 to
273-06-01 Recruit
273-06-02 otherss_cm
273-06-03 keeping
273-06-04 your
273-06-05 Company
273-06-06 to
273-06-07 the
273-06-08 Estas_mi
273-07-01 blishments_pt
273-09-01 s_2s_8ths_pt
273-09-02 To
273-09-03 Lieutenant
273-09-04 Bacon
273-09-05 of
273-09-06 the
273-09-07 Maryland
273-10-01 Independant
273-10-02 Companys_pt
273-11-01 Sirs_cm
273-12-01 As
273-12-02 those
273-12-03 Stockades
273-12-04 on
273-12-05 Pattersons
273-12-06 Creeks_cm
273-13-01 are
273-13-02 only
273-13-03 intended
273-13-04 by
273-13-05 way
273-13-06 of
273-13-07 cover
273-13-08 to
273-13-09 the
273-13-10 Rangerss_cm
273-13-11 and
273-14-01 as
273-14-02 a
273-14-03 Receptacle
273-14-04 now
273-14-05 and
273-14-06 then
273-14-07 for
273-14-08 Provisionss_sq
273-14-09 you
273-14-10 are
273-15-01 desired
273-15-02 not
273-15-03 to
273-15-04 plan
273-15-05 any
273-15-06 works_cm
273-15-07 which
273-15-08 requires
273-15-09 much
273-16-01 time
273-16-02 to
273-16-03 executes_pt
273-16-04 We
273-16-05 have
273-16-06 neither
273-16-07 Men
273-16-08 nor
273-16-09 Toolss_cm
273-17-01 to
273-17-02 carry
273-17-03 on
273-17-04 the
273-17-05 undertaking
273-17-06 with
273-17-07 vigours_pt
273-18-01 I
273-18-02 am
273-18-03 s_etcs_pt
273-18-04 s_GW
273-20-01 s_2s_9ths_pt
273-20-02 To
273-20-03 Lieutenant
273-20-04 Colonel
273-20-05 Adam
273-20-06 Stephens_cm
273-21-01 of
273-21-02 the
273-21-03 Virginia
273-21-04 Regiments_pt
273-22-01 You
273-22-02 are
273-22-03 hereby
273-22-04 Ordereds_cm
273-22-05 so
273-22-06 soon
273-22-07 as
273-23-01 the
273-23-02 Waggons
273-23-03 arrive
273-23-04 from
273-23-05 Alexandria
273-23-06 and
273-23-07 Fort
273-24-01 Cumberlands_cm
273-24-02 with
273-24-03 Clothing
273-24-04 and
273-24-05 Armss_cm
273-24-06 to
273-24-07 see
273-25-01 the
273-25-02 men
273-25-03 completely
273-25-04 furnished
273-25-05 with
273-25-06 boths_sq
273-25-07 and
273-26-01 march
273-26-02 them
273-26-03 immediately
273-26-04 to
273-26-05 Fort
273-26-06 Cumberlands_sq
273-27-01 observing
273-27-02 to
273-27-03 take
273-27-04 up
273-27-05 all
273-27-06 the
273-27-07 Salt
273-27-08 which
273-27-09 the
273-28-01 waggonss_cm
273-28-02 provided
273-28-03 by
273-28-04 the
273-28-05 commis_ssarys_cm
273-28-06 will
273-28-07 carrys_pt
273-29-01 There
273-29-02 will
273-29-03 come
273-29-04 down
273-29-05 some
273-29-06 of
273-29-07 the
273-29-08 country
273-29-09 wags_mi
273-30-01 gonss_cm
273-30-02 which
273-30-03 must
273-30-04 also
273-30-05 be
273-30-06 loaded
273-30-07 up
273-30-08 with
273-30-09 Salts_pt
273-31-01 As
273-31-02 there
273-31-03 is
273-31-04 some
273-31-05 clothing
273-31-06 wanting
273-31-07 to
273-31-08 complete
273-32-01 the
273-32-02 Companies
273-32-03 at
273-32-04 Fort
273-32-05 Cumberlands_cm
273-32-06 you
273-32-07 are
273-33-01 to
273-33-02 take
273-33-03 up
273-33-04 for
273-33-05 that
273-33-06 purpose
273-33-07 forty
273-33-08 Coatss_cm
273-33-09 thirty
273-33-10 s_mi
273-33-11 nine
273-34-01 waistcoatss_cm
273-34-02 and
273-34-03 fifty
273-34-04 s_mi
273-34-05 six
273-34-06 pair
273-34-07 of
273-34-08 Breechess_sq
273-34-09 thirty
273-34-10 s_mi
273-35-01 eight
273-35-02 Hats
273-35-03 and
273-35-04 eighty
273-35-05 Shirtss_sq
273-35-06 which
273-35-07 you
273-35-08 are
273-35-09 to
273-35-10 have
274-01-01 s_2s_7s_4s_pt
274-01-02 Letterss_cm
274-01-03 Orders
274-01-04 and
274-01-05 Instructionss_pt
274-01-06 October
274-01-07 s_1s_7s_5s_5s_pt
274-03-01 delivered
274-03-02 out
274-03-03 to
274-03-04 the
274-03-05 Companiess_cm
274-03-06 according
274-04-01 to
274-04-02 the
274-04-03 Return
274-04-04 made
274-04-05 me
274-04-06 at
274-04-07 Fort
274-04-08 Cums_mi
274-05-01 berlands_cm
274-05-02 October
274-05-03 s_2s_6ths_pt
274-05-04 s_mi
274-05-05 I
274-05-06 have
274-05-07 sent
274-05-08 more
274-06-01 Suits
274-06-02 than
274-06-03 are
274-06-04 neces_ssarys_cm
274-06-05 in
274-06-06 case
274-06-07 of
274-06-08 getting
274-07-01 a
274-07-02 Recruit
274-07-03 s_etcs_pt
274-07-04 You
274-07-05 must
274-07-06 do
274-07-07 the
274-07-08 best
274-07-09 you
274-08-01 can
274-08-02 in
274-08-03 Lodging
274-08-04 the
274-08-05 mens_cm
274-08-06 as
274-08-07 the
274-08-08 Barracks
274-09-01 in
274-09-02 the
274-09-03 Fort
274-09-04 are
274-09-05 fulls_pt
274-09-06 As
274-09-07 Sergeant
274-09-08 Wils_mi
274-10-01 per
274-10-02 is
274-10-03 waiting
274-10-04 the
274-10-05 return
274-10-06 of
274-10-07 the
274-10-08 waggons
274-11-01 from
274-11-02 the
274-11-03 Forts_cm
274-11-04 for
274-11-05 neces_ssaries
274-11-06 for
274-11-07 Captain
274-12-01 Hoggs
274-12-02 Companys_sq
274-12-03 so
274-12-04 soon
274-12-05 as
274-12-06 they
274-12-07 arrives_cm
274-13-01 you
274-13-02 are
274-13-03 to
274-13-04 see
274-13-05 that
274-13-06 he
274-13-07 receives
274-13-08 such
274-14-01 things
274-14-02 as
274-14-03 he
274-14-04 has
274-14-05 orders
274-14-06 fors_cm
274-14-07 and
274-14-08 dispatch
274-15-01 him
274-15-02 immediatelys_pt
274-15-03 If
274-15-04 no
274-15-05 other
274-15-06 Horsess_cm
274-15-07 belongs_mi
274-16-01 ing
274-16-02 to
274-16-03 the
274-16-04 Countrys_cm
274-16-05 can
274-16-06 be
274-16-07 had
274-16-08 heres_cm
274-16-09 one
274-17-01 of
274-17-02 the
274-17-03 Country
274-17-04 Teams
274-17-05 must
274-17-06 be
274-17-07 stoppeds_cm
274-18-01 and
274-18-02 the
274-18-03 horses
274-18-04 given
274-18-05 to
274-18-06 hims_pt
274-18-07 You
274-18-08 must
274-19-01 engage
274-19-02 the
274-19-03 herdsmen
274-19-04 to
274-19-05 remain
274-19-06 with
274-20-01 the
274-20-02 Cattles_cm
274-20-03 until
274-20-04 they
274-20-05 hear
274-20-06 from
274-20-07 the
274-20-08 Coms_mi
274-21-01 mis_ssary
274-21-02 or
274-21-03 from
274-21-04 mes_pt
274-21-05 You
274-21-06 must
274-21-07 engage
274-22-01 all
274-22-02 the
274-22-03 Coopers
274-22-04 you
274-22-05 can
274-22-06 to
274-22-07 make
274-22-08 Barrels
274-23-01 for
274-23-02 packing
274-23-03 the
274-23-04 Beefs_sq
274-23-05 and
274-23-06 if
274-23-07 any
274-23-08 of
274-23-09 the
274-24-01 Soldiers
274-24-02 are
274-24-03 Cooperss_cm
274-24-04 they
274-24-05 must
274-24-06 be
274-24-07 set
274-24-08 ims_mi
274-25-01 mediately
274-25-02 to
274-25-03 works_pt
274-25-04 You
274-25-05 are
274-25-06 to
274-25-07 receive
274-26-01 from
274-26-02 the
274-26-03 Stores
274-26-04 here
274-26-05 thirty
274-26-06 pounds
274-26-07 of
274-27-01 Goose
274-27-02 s_mi
274-27-03 which
274-27-04 you
274-27-05 will
274-27-06 deliver
274-27-07 to
274-28-01 Captain
274-28-02 Ashbys_qts
274-28-03 Company
274-28-04 as
274-28-05 you
274-28-06 pas_ss
274-29-01 bys_cm
274-29-02 directing
274-29-03 him
274-29-04 to
274-29-05 be
274-29-06 particularly
274-29-07 cares_mi
274-30-01 ful
274-30-02 of
274-30-03 its_pt
274-30-04 s_mi
274-30-05 If
274-30-06 either
274-30-07 of
274-30-08 the
274-30-09 Captains
274-30-10 of
274-31-01 the
274-31-02 Rangers
274-31-03 should
274-31-04 apply
274-31-05 to
274-31-06 you
274-31-07 for
274-31-08 Ammus_mi
274-32-01 nitions_cm
274-32-02 you
274-32-03 are
274-32-04 to
274-32-05 supply
274-32-06 him
274-32-07 from
274-32-08 the
274-33-01 Forts_pt
274-33-02 A
274-33-03 Drummers_cm
274-33-04 with
274-33-05 his
274-33-06 Drums_cm
274-33-07 is
274-34-01 to
274-34-02 be
274-34-03 sent
274-34-04 from
274-34-05 this
274-34-06 place
274-34-07 with
274-34-08 Sergeant
274-35-01 Wilpers_cm
274-35-02 in
274-35-03 the
274-35-04 room
274-35-05 of
274-35-06 Duncan
274-35-07 Fergusons_cm
275-01-01 Letterss_cm
275-01-02 Orders
275-01-03 and
275-01-04 Instructionss_pt
275-01-05 October
275-01-06 s_1s_7s_5s_5s_pt
275-01-07 s_2s_7s_5s_pt
275-03-01 who
275-03-02 is
275-03-03 to
275-03-04 go
275-03-05 up
275-03-06 to
275-03-07 Fort
275-03-08 Cumberlands_pt
275-03-09 You
275-03-10 are
275-03-11 to
275-03-12 see
275-04-01 that
275-04-02 the
275-04-03 men
275-04-04 of
275-04-05 the
275-04-06 Virginia
275-04-07 Regiment
275-04-08 are
275-04-09 exers_mi
275-05-01 cised
275-05-02 as
275-05-03 often
275-05-04 every
275-05-05 day
275-05-06 as
275-05-07 the
275-05-08 duty
275-05-09 will
275-05-10 admits_sq
275-06-01 and
275-06-02 that
275-06-03 they
275-06-04 are
275-06-05 practised
275-06-06 also
275-06-07 in
275-06-08 shooting
275-06-09 at
275-06-10 Tars_mi
275-07-01 getss_sq
275-07-02 and
275-07-03 if
275-07-04 there
275-07-05 are
275-07-06 any
275-07-07 who
275-07-08 are
275-07-09 remarkably
275-08-01 awkwards_cm
275-08-02 particular
275-08-03 pains
275-08-04 must
275-08-05 be
275-08-06 taken
275-08-07 with
275-09-01 thems_pt
275-09-02 You
275-09-03 must
275-09-04 observe
275-09-05 on
275-09-06 your
275-09-07 march
275-09-08 good
275-10-01 order
275-10-02 and
275-10-03 disciplines_cm
275-10-04 and
275-10-05 see
275-10-06 that
275-10-07 no
275-10-08 irregus_mi
275-11-01 larities
275-11-02 happens_sq
275-11-03 and
275-11-04 that
275-11-05 the
275-11-06 men
275-11-07 are
275-11-08 not
275-12-01 allowed
275-12-02 to
275-12-03 pillage
275-12-04 the
275-12-05 Countrys_cm
275-12-06 which
275-12-07 was
275-12-08 very
275-13-01 much
275-13-02 complained
275-13-03 of
275-13-04 in
275-13-05 the
275-13-06 last
275-13-07 Detachments_pt
275-14-01 You
275-14-02 are
275-14-03 to
275-14-04 apply
275-14-05 to
275-14-06 Major
275-14-07 Lewis
275-14-08 for
275-14-09 the
275-14-10 Ins_mi
275-15-01 structions
275-15-02 which
275-15-03 I
275-15-04 left
275-15-05 with
275-15-06 hims_cm
275-15-07 and
275-15-08 see
275-16-01 that
275-16-02 they
275-16-03 are
275-16-04 observeds_pt
275-17-01 Given
275-17-02 under
275-17-03 my
275-17-04 Hand
275-17-05 s_etcs_pt
275-18-01 Winchesters_cm
275-18-02 October
275-18-03 s_GW
275-19-01 s_2s_9ths_pt
275-19-02 s_1s_7s_5s_5s_pt
275-21-01 s_2s_9ths_pt
275-21-02 To
275-21-03 Mrs_pt
275-21-04 Commis_ssary
275-21-05 Dick
275-22-01 You
275-22-02 ares_cm
275-22-03 so
275-22-04 soon
275-22-05 as
275-22-06 you
275-22-07 arrive
275-22-08 heres_cm
275-22-09 to
275-23-01 give
275-23-02 such
275-23-03 directions
275-23-04 as
275-23-05 you
275-23-06 shall
275-23-07 see
275-23-08 neces_ssary
275-23-09 about
275-24-01 driving
275-24-02 the
275-24-03 Cattle
275-24-04 to
275-24-05 Fort
275-24-06 Cumberlands_pt
275-24-07 You
275-24-08 are
275-25-01 to
275-25-02 send
275-25-03 up
275-25-04 Doctor
275-25-05 Walkers_cm
275-25-06 or
275-25-07 go
275-25-08 yourself
275-25-09 theres_cm
275-25-10 to
275-26-01 see
275-26-02 them
275-26-03 killed
275-26-04 and
275-26-05 properly
275-26-06 salteds_pt
275-26-07 Whichever
275-26-08 of
275-27-01 you
275-27-02 remains
275-27-03 heres_cm
275-27-04 must
275-27-05 purchase
275-27-06 such
275-27-07 a
275-27-08 quantity
275-28-01 of
275-28-02 Pork
275-28-03 as
275-28-04 you
275-28-05 imagine
275-28-06 will
275-28-07 be
275-28-08 neces_ssary
275-28-09 for
275-28-10 the
275-29-01 Troopss_cm
275-29-02 upon
275-29-03 the
275-29-04 most
275-29-05 reasonable
275-29-06 terms
275-29-07 you
275-29-08 cans_sq
275-29-09 and
275-30-01 oblige
275-30-02 them
275-30-03 to
275-30-04 deliver
275-30-05 it
275-30-06 at
275-30-07 whatever
275-30-08 time
275-30-09 you
275-30-10 shall
275-31-01 judge
275-31-02 most
275-31-03 propers_pt
275-31-04 You
275-31-05 are
275-31-06 to
275-31-07 answers_cm
275-31-08 out
275-31-09 of
275-31-10 the
275-31-11 money
